stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
mxc_C14V2_STP_115,Avenida 8 de Julio,20.644620,-103.362530,,,,,,,,,,
mxc_C14V2_STP_117,Calle 5,20.639130,-103.364840,,,,,,,,,,
mxc_C14V2_STP_118,Calle 10,20.635380,-103.366440,,,,,,,,,,
mxc_C14V2_STP_119,18 de Marzo,20.633960,-103.367040,,,,,,,,,,
mxc_C14V2_STP_120,Avenida 8 de Julio,20.630860,-103.368350,,,,,,,,,,
mxc_C14V2_STP_121,Avenida 8 de Julio,20.629330,-103.369010,,,,,,,,,,
mxc_C14V2_STP_122,Avenida 8 de Julio,20.627760,-103.369650,,,,,,,,,,
mxc_C14V2_STP_123,Calle Gerónimo Treviño,20.631580,-103.380140,,,,,,,,,,
mxc_C14V2_STP_124,Avenida Cristóbal Colón,20.630790,-103.382290,,,,,,,,,,
mxc_C14V2_STP_125,Avenida Cristóbal Colón,20.626450,-103.385570,,,,,,,,,,
mxc_C14V2_STP_126,Avenida Cristóbal Colón,20.624480,-103.387420,,,,,,,,,,
mxc_C14V2_STP_127,España,20.621390,-103.389740,,,,,,,,,,
mxc_C14V2_STP_128,Santuario Mártires de Cristo Rey,20.614020,-103.395810,,,,,,,,,,
mxc_C14V2_STP_182,Circuito Alerce,20.469170,-103.414600,,,,,,,,,,
mxc_C14V2_STP_71,Avenida Jesús Reyes Heroles,20.625760,-103.385380,,,,,,,,,,
mxc_C14V2_STP_72,Calle Longinos Cadena,20.631760,-103.381140,,,,,,,,,,
mxc_C14V2_STP_73,Calle Ramón Alcorta,20.632440,-103.379520,,,,,,,,,,
mxc_C14V2_STP_74,Calle Ramón Alcorta,20.632220,-103.378380,,,,,,,,,,
mxc_C14V2_STP_75,Parada Linea 645,20.631800,-103.375870,,,,,,,,,,
mxc_C14V2_STP_76,Calle Ramón Alcorta,20.631520,-103.374240,,,,,,,,,,
mxc_C14V2_STP_77,Calle Ramón Alcorta,20.631160,-103.372030,,,,,,,,,,
mxc_C14V2_STP_78,Calle Ramón Alcorta,20.630780,-103.369690,,,,,,,,,,
mxc_C14V2_STP_79,Calle Ramón Alcorta,20.630590,-103.368580,,,,,,,,,,
mxc_C14V2_STP_80,Avenida 8 de Julio,20.633380,-103.367010,,,,,,,,,,
mxc_C14V2_STP_81,18 de Marzo,20.634620,-103.366510,,,,,,,,,,
mxc_C14V2_STP_82,Calle 5,20.638630,-103.364800,,,,,,,,,,
mxc_C14V2_STP_83,Avenida 8 de Julio,20.641360,-103.363630,,,,,,,,,,
mxc_C14V2_STP_85,Calle 10,20.646650,-103.361400,,,,,,,,,,
mxc_C14V2_STP_87,Avenida 8 de Julio,20.650180,-103.359860,,,,,,,,,,
mxc_C14V2_STP_88,Calle Milano,20.651960,-103.359100,,,,,,,,,,
mxc_C14V2_STP_89,Ruta 50,20.654260,-103.358130,,,,,,,,,,
mxc_C14V2_STP_91,Calle Colón,20.661950,-103.354010,,,,,,,,,,
mxc_C14V2_STP_92,Calle Colón,20.663310,-103.352960,,,,,,,,,,
mxc_C14V2_STP_94,Avenida Cristóbal Colón,20.666310,-103.351200,,,,,,,,,,
mxc_C14V2_STP_95,Calle José Guadalupe Montenegro,20.667080,-103.348520,,,,,,,,,,
mxc_C15_STP_01,Calle Canario,20.523130,-103.223990,,,,,,,,,,
mxc_C15_STP_02,Calle Cenzontle,20.521450,-103.225630,,,,,,,,,,
mxc_C15_STP_03,Calle Garza,20.521260,-103.226470,,,,,,,,,,
mxc_C15_STP_04,Calle Jilguero,20.521290,-103.227790,,,,,,,,,,
mxc_C15_STP_05,Calle San Sebastián,20.521240,-103.229110,,,,,,,,,,
mxc_C15_STP_06,Infonavit Condor,20.520710,-103.229690,,,,,,,,,,
mxc_C15_STP_07,Infonavit Condor,20.519440,-103.229740,,,,,,,,,,
mxc_C15_STP_08,Avenida Campo Bello,20.518920,-103.229870,,,,,,,,,,
mxc_C15_STP_09,Avenida Campo Bello,20.517620,-103.230370,,,,,,,,,,
mxc_C15_STP_10,Infonavit Condor,20.516560,-103.230750,,,,,,,,,,
mxc_C15_STP_101,Avenida 8 de Julio,20.659490,-103.356160,,,,,,,,,,
mxc_C15_STP_103,Avenida 8 de Julio,20.654860,-103.358100,,,,,,,,,,
mxc_C15_STP_107,Clarin,20.648320,-103.360850,,,,,,,,,,
mxc_C15_STP_109,Av. July 8th Street,20.641900,-103.363640,,,,,,,,,,
mxc_C15_STP_11,Condominio Acacia,20.514860,-103.230980,,,,,,,,,,
mxc_C15_STP_110,Calle 3,20.641120,-103.362640,,,,,,,,,,
mxc_C15_STP_111,Calle 3,20.640170,-103.360170,,,,,,,,,,
mxc_C15_STP_112,Calle 3,20.639260,-103.357700,,,,,,,,,,
mxc_C15_STP_113,Calle 3,20.638910,-103.356730,,,,,,,,,,
mxc_C15_STP_114,Calle 22,20.636290,-103.357270,,,,,,,,,,
mxc_C15_STP_115,Calle 22,20.632640,-103.358840,,,,,,,,,,
mxc_C15_STP_116,Calle María Ciudadano Bancalari,20.631210,-103.359410,,,,,,,,,,
mxc_C15_STP_12,Condominio Anis,20.514950,-103.231630,,,,,,,,,,
mxc_C15_STP_124,Avenida Patria,20.620380,-103.356470,,,,,,,,,,
mxc_C15_STP_125,Calle Luis Covarrubias,20.619020,-103.354720,,,,,,,,,,
mxc_C15_STP_126,Calle Luis Covarrubias,20.619060,-103.353150,,,,,,,,,,
mxc_C15_STP_127,Avenida Bellas Artes,20.617830,-103.351130,,,,,,,,,,
mxc_C15_STP_128,Bellas Artes Oriente,20.617090,-103.349850,,,,,,,,,,
mxc_C15_STP_13,Condominio Casuarinas,20.515190,-103.233120,,,,,,,,,,
mxc_C15_STP_134,Estacion Esculturas,20.612390,-103.343230,,,,,,,,,,
mxc_C15_STP_14,Infonavit Condor,20.515090,-103.234570,,,,,,,,,,
mxc_C15_STP_152,Antigua Carretera a Chapala,20.577570,-103.331880,,,,,,,,,,
mxc_C15_STP_16,Avenida Hidalgo,20.513360,-103.236510,,,,,,,,,,
