trip_id,start_time,end_time,headway_secs,exact_times
C98_route_1_1111110_60000,16:48:00,20:48:00,480,
C98_route_2_0000001_32640,05:42:00,07:22:00,600,
C98_route_2_0000001_32640,07:21:00,09:00:00,540,
C98_route_2_0000001_32640,08:52:00,09:16:00,720,
C98_route_2_0000001_32640,09:14:00,16:04:00,600,
C98_route_2_0000001_32640,15:56:00,16:20:00,720,
C98_route_2_0000001_32640,16:17:00,17:47:00,540,
C98_route_2_0000001_32640,17:48:00,19:28:00,600,
C98_route_2_0000001_32640,19:30:00,21:09:00,540,
C98_route_2_0000001_32640,21:10:00,22:10:00,600,
C98_route_2_1111110_50520,05:42:00,07:10:00,480,
C98_route_2_1111110_50520,07:09:00,08:19:00,420,
C98_route_2_1111110_50520,08:20:00,11:08:00,480,
C98_route_2_1111110_50520,11:02:00,11:22:00,600,
C98_route_2_1111110_50520,11:20:00,14:00:00,480,
C98_route_2_1111110_50520,14:02:00,15:19:00,420,
C98_route_2_1111110_50520,15:20:00,22:00:00,480,
MM_01_R_MIRADOR,05:00:00,06:00:00,720,
MM_01_R_MIRADOR,06:00:00,06:04:00,240,
MM_01_R_MIRADOR,06:04:00,06:48:00,300,
MM_01_R_MIRADOR,06:48:00,06:56:00,240,
MM_01_R_MIRADOR,06:56:00,07:36:00,300,
MM_01_R_MIRADOR,07:36:00,07:40:00,240,
MM_01_R_MIRADOR,07:40:00,07:55:00,300,
MM_01_R_MIRADOR,07:55:00,07:59:00,240,
MM_01_R_MIRADOR,07:59:00,08:24:00,300,
MM_01_R_MIRADOR,08:24:00,08:32:00,240,
MM_01_R_MIRADOR,08:32:00,09:57:00,300,
MM_01_R_MIRADOR,09:57:00,10:00:00,180,
MM_01_R_MIRADOR,10:00:00,10:02:00,120,
MM_01_R_MIRADOR,10:02:00,10:27:00,300,
MM_01_R_MIRADOR,10:27:00,10:30:00,180,
MM_01_R_MIRADOR,10:30:00,10:32:00,120,
MM_01_R_MIRADOR,10:32:00,10:42:00,300,
MM_01_R_MIRADOR,10:42:00,10:46:00,240,
MM_01_R_MIRADOR,10:46:00,10:47:00,60,
MM_01_R_MIRADOR,10:47:00,11:12:00,300,
MM_01_R_MIRADOR,11:12:00,11:16:00,240,
MM_01_R_MIRADOR,11:16:00,11:17:00,60,
MM_01_R_MIRADOR,11:17:00,18:22:00,300,
MM_01_R_MIRADOR,18:22:00,18:28:00,360,
MM_01_R_MIRADOR,18:28:00,18:33:00,300,
MM_01_R_MIRADOR,18:33:00,18:37:00,240,
MM_01_R_MIRADOR,18:37:00,21:52:00,300,
MM_01_R_MIRADOR,21:52:00,22:00:00,240,
MM_01_R_MIRADOR,22:00:00,23:00:00,720,
MM_02_R_FRAY,05:00:00,06:00:00,720,
MM_02_R_FRAY,06:00:00,06:08:00,240,
MM_02_R_FRAY,06:08:00,06:48:00,300,
MM_02_R_FRAY,06:48:00,06:52:00,240,
MM_02_R_FRAY,06:52:00,07:07:00,300,
MM_02_R_FRAY,07:07:00,07:11:00,240,
MM_02_R_FRAY,07:11:00,07:36:00,300,
MM_02_R_FRAY,07:36:00,07:44:00,240,
MM_02_R_FRAY,07:44:00,08:24:00,300,
MM_02_R_FRAY,08:24:00,08:28:00,240,
MM_02_R_FRAY,08:28:00,08:43:00,300,
MM_02_R_FRAY,08:43:00,08:47:00,240,
MM_02_R_FRAY,08:47:00,09:57:00,300,
MM_02_R_FRAY,09:57:00,10:00:00,180,
MM_02_R_FRAY,10:00:00,10:02:00,120,
MM_02_R_FRAY,10:02:00,10:27:00,300,
MM_02_R_FRAY,10:27:00,10:30:00,180,
MM_02_R_FRAY,10:30:00,10:32:00,120,
MM_02_R_FRAY,10:32:00,10:42:00,300,
MM_02_R_FRAY,10:42:00,10:46:00,240,
MM_02_R_FRAY,10:46:00,10:47:00,60,
MM_02_R_FRAY,10:47:00,11:12:00,300,
MM_02_R_FRAY,11:12:00,11:16:00,240,
MM_02_R_FRAY,11:16:00,11:17:00,60,
MM_02_R_FRAY,11:17:00,21:52:00,300,
MM_02_R_FRAY,21:52:00,22:00:00,240,
MM_02_R_FRAY,22:00:00,23:00:00,720,
MM_03_E_MIRADOR,05:05:00,06:05:00,900,
MM_03_E_MIRADOR,06:05:00,09:05:00,240,
