stop_name,stop_id,stop_lat,stop_lon
Calle Canuto Elías,MM_A13_7,20.61928,-103.36282
Calle Cardenal,MM_A06_27,20.60761,-103.3398
Calle Cardenal,MM_A06_28,20.60804,-103.34002
Calle Cardenal,MM_A06_29,20.60883,-103.34027
Calle Cardenal,MM_A06_37,20.60902,-103.34042
Calle Cardenal,MM_A08_59,20.60767,-103.33996
Calle Cardenal,MM_A10_28,20.60323,-103.33724
Calle Cardenal,MM_A10_29,20.60416,-103.33778
Calle Cardenal,MM_A10_31,20.60597,-103.33905
Calle Cardenal,MM_A10_45,20.60516,-103.33864
Calle Cardenal,MM_A10_46,20.60429,-103.338
Calle Cardenal,MM_A10_47,20.60326,-103.33741
Calle Cardenal,MM_A10_48,20.60257,-103.33711
Calle Carretera a Chapala,MM_C67V1_76,20.61722,-103.32201
Calle Cerrada Privada Camichin,MM_C125V1_44,20.56012,-103.46271
Calle Cerro Copey,MM_C41V1_01,20.49235,-103.35859
Calle Cerro Torrecillas,MM_A21_85,20.49785,-103.35939
Calle Comonfort,MM_T07_84,20.6033,-103.39836
Calle Cristóbal Colón,MM_A17_6,20.59856,-103.35019
Calle El Eden,MM_A08_5,20.55421,-103.33146
Calle Emiliano Zapata,MM_A09_12,20.57323,-103.32104
Calle Emiliano Zapata,MM_A09_13,20.57389,-103.32348
Calle Emiliano Zapata,MM_A09_14,20.57443,-103.32482
Calle Emiliano Zapata,MM_A09_16,20.57592,-103.32833
Calle Emiliano Zapata,MM_A09_71,20.57585,-103.32847
Calle Emiliano Zapata,MM_A09_72,20.57536,-103.32735
Calle Emiliano Zapata,MM_A09_73,20.57443,-103.32511
Calle Emiliano Zapata,MM_A09_74,20.57395,-103.32386
Calle Emiliano Zapata,MM_A09_75,20.57298,-103.32112
Calle Ermita,MM_A10_1,20.58735,-103.32984
Calle Ermita,MM_A10_2,20.58899,-103.33012
Calle Ermita,MM_A10_3,20.58957,-103.33024
Calle Ermita,MM_A10_4,20.59184,-103.3307
Calle Ermita,MM_A10_71,20.58975,-103.33045
Calle Federico Medrano,MM_C02_66,20.6643,-103.32493
Calle Federico Medrano,MM_C02_68,20.66271,-103.32047
Calle Federico Medrano,MM_C68_97,20.66613,-103.33008
Calle Francisco Corona,MM_A10_18,20.60222,-103.33023
Calle Francisco Corona,MM_A10_19,20.60231,-103.33073
Calle Francisco Corona,MM_A10_20,20.60237,-103.33124
Calle Francisco Corona,MM_A10_21,20.60245,-103.33188
Calle Francisco Corona,MM_A10_23,20.60249,-103.33299
Calle Francisco Corona,MM_A10_24,20.60253,-103.33418
Calle Francisco Corona,MM_A10_25,20.60256,-103.33487
Calle Francisco Corona,MM_A10_26,20.60255,-103.33552
Calle Francisco Corona,MM_A10_27,20.60252,-103.33691
Calle Francisco Corona,MM_A10_49,20.60247,-103.33564
Calle Francisco Corona,MM_A10_50,20.60248,-103.33505
Calle Francisco Corona,MM_A10_51,20.60246,-103.33434
Calle Francisco Corona,MM_A10_52,20.60242,-103.33318
Calle Francisco Corona,MM_A10_53,20.60239,-103.33255
Calle Francisco Corona,MM_A10_55,20.60227,-103.33132
Calle Francisco Corona,MM_A10_56,20.60221,-103.33067
Calle Francisco Corona,MM_A10_57,20.60215,-103.33019
Calle Francisco Gonzalez Bocanegra,MM_C21_02,20.69043,-103.3022
Calle Francisco Indalecio Madero,MM_A09_64,20.58949,-103.3331
Calle Francisco Pastor,MM_A16_11,20.73413,-103.32218
Calle Fray Junípero Serra,MM_C107_20,20.69161,-103.34372
Calle Gral Genovevo Rivas Guillén,MM_C66V2_94,20.68807,-103.30446
Calle Gral Genovevo Rivas Guillén,MM_C66V2_95,20.69014,-103.30391
Calle Guayabo,MM_A20_27,20.55356,-103.35497
Calle Guayabo,MM_A20_74,20.55363,-103.35511
Calle Hacienda La Calera,MM_C64_29,20.69727,-103.29055
Calle Ignacio Mejia,MM_A17_37,20.59981,-103.34974
Calle Ignacio Mejia,MM_A17_38,20.59981,-103.35039
Calle Ignacio Mejia,MM_A17_7,20.59965,-103.35037
Calle Ignacio Mejia,MM_A17_8,20.59971,-103.34987
Calle Incalpa,MM_A08_83,20.57449,-103.35597
Calle Javier Mina,MM_A20_14,20.53043,-103.36366
Calle Javier Mina,MM_A20_15,20.53054,-103.36502
Calle Javier Mina,MM_A20_16,20.53143,-103.36622
Calle Javier Mina,MM_A20_17,20.53189,-103.36694
Calle Javier Mina,MM_A20_83,20.53182,-103.367
