route_id,service_id,shape_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed
MP-T03,S,MM-MP_17,MP-T03-MM17-S,Chapalita Inn,,0,,,
MT_L3,D,MT-L3_1,MT_L3-1-D,Central de Autobuses,,0,,,
MT_L3,LV,MT-L3_1,MT_L3-1-LV,Central de Autobuses,,0,,,
MT_L3,S,MT-L3_1,MT_L3-1-S,Central de Autobuses,,0,,,
MT_L3,D,MT-L3_2,MT_L3-2-D,Arcos de Zapopan,,0,,,
MT_L3,LV,MT-L3_2,MT_L3-2-LV,Arcos de Zapopan,,0,,,
MT_L3,S,MT-L3_2,MT_L3-2-S,Arcos de Zapopan,,0,,,
ST_L1,LV,ST_01,ST_01,Aviación,,0,,,
ST_L1,LV,ST_02,ST_02,Juárez,,0,,,
ST_L2,LV,ST_03,ST_03,Tonalá,,0,,,
ST_L2,LV,ST_04,ST_04,Tetlán,,0,,,
ST_L3,LV,ST_05,ST_05,Felipe Ángeles,,0,,,
ST_L3,LV,ST_06,ST_06,Arcos,,0,,,
ST_L4,LV,ST_07,ST_07,Molinos,,0,,,
ST_L4,LV,ST_08,ST_08,Juan Gil Preciado,,0,,,
ST_L1B,LV,ST_09,ST_09,CUCBA,,0,,,
ST_L1B,LV,ST_10,ST_10,Aviación,,0,,,
ST_L1,S,ST_01,ST_11,Aviación,,0,,,
ST_L1,S,ST_02,ST_12,Juárez,,0,,,
ST_L2,S,ST_03,ST_13,Tonalá,,0,,,
ST_L2,S,ST_04,ST_14,Tetlán,,0,,,
ST_L3,S,ST_05,ST_15,Felipe Ángeles,,0,,,
ST_L3,S,ST_06,ST_16,Arcos,,0,,,
ST_L4,S,ST_07,ST_17,Molinos,,0,,,
ST_L4,S,ST_08,ST_18,Juan Gil Preciado,,0,,,
ST_L1B,S,ST_09,ST_19,CUCBA,,0,,,
ST_L1B,S,ST_10,ST_20,Aviación,,0,,,
ST_L1,D,ST_01,ST_21,Aviación,,0,,,
ST_L1,D,ST_02,ST_22,Juárez,,0,,,
ST_L2,D,ST_03,ST_23,Tonalá,,0,,,
ST_L2,D,ST_04,ST_24,Tetlán,,0,,,
ST_L3,D,ST_05,ST_25,Felipe Ángeles,,0,,,
ST_L3,D,ST_06,ST_26,Arcos,,0,,,
ST_L4,D,ST_07,ST_27,Molinos,,0,,,
ST_L4,D,ST_08,ST_28,Juan Gil Preciado,,0,,,
ST_L1B,D,ST_09,ST_29,CUCBA,,0,,,
ST_L1B,D,ST_10,ST_30,Aviación,,0,,,
MT_L1,LV,MT_01,TL1_01,AUDITORIO,,0,,,
MT_L1,S,MT_01,TL1_02,AUDITORIO,,0,,,
MT_L1,D,MT_01,TL1_03,AUDITORIO,,0,,,
MT_L1,LV,MT_02,TL1_04,PERIFERICO SUR,,0,,,
MT_L1,S,MT_02,TL1_05,PERIFERICO SUR,,0,,,
MT_L1,D,MT_02,TL1_06,PERIFERICO SUR,,0,,,
MT_L2,LV,MT_03,TL2_01,TETLAN,,0,,,
MT_L2,S,MT_03,TL2_02,TETLAN,,0,,,
