trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
C02_route_2_0000001_20280,mxc_C34_STP_85,146,05:51:15,05:51:15,,,,,,
C02_route_2_0000001_20280,mxc_C34_STP_91,153,05:57:27,05:57:27,,,,,,
C02_route_2_0000001_20280,mxc_C34_STP_92,154,05:58:55,05:58:55,,,,,,
C02_route_2_0000001_20280,mxc_C34_STP_95,157,06:01:56,06:01:56,,,,,,
C02_route_2_0000001_20280,mxc_C34_STP_97,159,06:04:08,06:04:08,,,,,,
C02_route_2_0000001_20280,mxc_C36_STP_101,169,06:15:30,06:15:30,,,,,,
C02_route_2_0000001_20280,mxc_C37V1_STP_93,174,06:20:42,06:20:42,,,,,,
C02_route_2_0000001_20280,mxc_C37V1_STP_94,175,06:21:26,06:21:26,,,,,,
C02_route_2_0000001_20280,mxc_C68_STP_97,143,05:48:09,05:48:09,,,,,,
C02_trip_1,mxc_C02_STP_04,83,04:24:08,04:24:08,,,,,,
C02_trip_1,mxc_C02_STP_05,84,04:24:56,04:24:56,,,,,,
C02_trip_1,mxc_C02_STP_06,85,04:25:59,04:25:59,,,,,,
C02_trip_1,mxc_C02_STP_07,86,04:26:49,04:26:49,,,,,,
C02_trip_1,mxc_C02_STP_08,87,04:29:39,04:29:39,,,,,,
C02_trip_1,mxc_C02_STP_09,88,04:33:20,04:33:20,,,,,,
C02_trip_1,mxc_C02_STP_10,89,04:34:35,04:34:35,,,,,,
C02_trip_1,mxc_C02_STP_12,91,04:37:39,04:37:39,,,,,,
C02_trip_1,mxc_C02_STP_13,92,04:38:41,04:38:41,,,,,,
C02_trip_1,mxc_C02_STP_14,93,04:40:36,04:40:36,,,,,,
C02_trip_1,mxc_C02_STP_16,95,04:42:16,04:42:16,,,,,,
C02_trip_1,mxc_C02_STP_17,96,04:43:31,04:43:31,,,,,,
C02_trip_1,mxc_C02_STP_19,98,04:45:18,04:45:18,,,,,,
C02_trip_1,mxc_C02_STP_21,100,04:47:08,04:47:08,,,,,,
C02_trip_1,mxc_C02_STP_22,101,04:48:03,04:48:03,,,,,,
C02_trip_1,mxc_C02_STP_23,102,04:48:50,04:48:50,,,,,,
C02_trip_1,mxc_C02_STP_24,103,04:49:31,04:49:31,,,,,,
C02_trip_1,mxc_C02_STP_25,104,04:50:31,04:50:31,,,,,,
C02_trip_1,mxc_C02_STP_26,105,04:51:27,04:51:27,,,,,,
C02_trip_1,mxc_C02_STP_28,107,04:53:26,04:53:26,,,,,,
C02_trip_1,mxc_C02_STP_29,108,04:55:14,04:55:14,,,,,,
C02_trip_1,mxc_C02_STP_30,109,04:56:02,04:56:02,,,,,,
C02_trip_1,mxc_C02_STP_31,110,04:57:05,04:57:05,,,,,,
C02_trip_1,mxc_C02_STP_33,112,04:59:15,04:59:15,,,,,,
C02_trip_1,mxc_C02_STP_34,113,04:59:53,04:59:53,,,,,,
C02_trip_1,mxc_C02_STP_35,114,05:01:03,05:01:03,,,,,,
C02_trip_1,mxc_C02_STP_36,115,05:02:23,05:02:23,,,,,,
C02_trip_1,mxc_C02_STP_39,118,05:05:18,05:05:18,,,,,,
C02_trip_1,mxc_C02_STP_42,121,05:08:35,05:08:35,,,,,,
C02_trip_1,mxc_C02_STP_43,122,05:09:21,05:09:21,,,,,,
C02_trip_1,mxc_C02_STP_46,125,05:12:07,05:12:07,,,,,,
C02_trip_1,mxc_C02_STP_49,128,05:15:46,05:15:46,,,,,,
C02_trip_1,mxc_C02_STP_53,132,05:20:01,05:20:01,,,,,,
C02_trip_1,mxc_C06_STP_62,123,05:10:26,05:10:26,,,,,,
C02_trip_1,mxc_C06_STP_67,127,05:14:29,05:14:29,,,,,,
C02_trip_1,mxc_C07V1_STP_50,129,05:16:46,05:16:46,,,,,,
C02_trip_1,mxc_C07V1_STP_51,130,05:17:42,05:17:42,,,,,,
C02_trip_1,mxc_C122_STP_58,94,04:41:26,04:41:26,,,,,,
C02_trip_1,mxc_C13V1_STP_53,126,05:13:26,05:13:26,,,,,,
C02_trip_1,mxc_C17_STP_22,106,04:52:17,04:52:17,,,,,,
C02_trip_1,mxc_C17_STP_40,124,05:11:12,05:11:12,,,,,,
C02_trip_1,mxc_C19_STP_03,82,04:22:02,04:22:02,,,,,,
C02_trip_1,mxc_C22_STP_57,131,05:18:46,05:18:46,,,,,,
